"parental_education","family_income","internet_access","study_environment","study_hours_per_day","attendance_rate","sleep_hours","social_media_hours","assignment_completion_rate","participation_score","online_courses_completed","tutoring","pass"
"High School","Medium","Yes","Quiet",2.23,88.3,7.61,3.6,100,82.7,4,"No",0
"High School","Medium","Yes","Moderate",2.97,76.7,7,0,78.5,60.2,1,"No",0
"Bachelor","Medium","Yes","Noisy",1.5,71.4,7.71,3,76.2,58.1,2,"No",0
"Bachelor","Medium","Yes","Moderate",0.64,99.9,6.99,1.4,63.3,78.7,3,"No",0
"High School","Medium","No","Moderate",3.19,85.7,6.91,3.3,100,42.2,1,"No",0
"Bachelor","Medium","Yes","Moderate",2.14,98.2,6.99,1.2,69.8,55,2,"No",0
"High School","Medium","Yes","Noisy",2.44,81.8,7.1,2.3,51.7,76.8,1,"Yes",0
"High School","Medium","Yes","Quiet",0.98,88.3,6.6,3.4,82.3,99.6,2,"Yes",0
"Master","High","Yes","Moderate",0.5,70.6,4.3,5.2,75.3,79.3,2,"Yes",0
"Bachelor","Medium","Yes","Moderate",3.23,78.7,7.07,4.4,53.1,82,1,"No",0
"High School","Low","Yes","Quiet",2.9,83.5,5.55,2.1,55.1,60.8,1,"Yes",0
"Bachelor","High","No","Noisy",1.2,100,8.74,0.3,70.8,93.1,3,"Yes",0
"Bachelor","Medium","Yes","Moderate",2.47,95,7.73,3,60.1,67.6,2,"No",0
"High School","Low","No","Noisy",2.73,87.7,8.4,3.3,79.8,87.4,1,"No",0
"High School","Low","Yes","Noisy",2.64,62.9,5.68,2.9,100,70.8,2,"No",0
"High School","Low","No","Quiet",1.16,81.2,7.19,2.9,81.2,48.4,1,"No",0
"Master","Medium","Yes","Noisy",1.42,82.8,4.84,2.3,81.7,87,0,"No",0
"Master","Medium","Yes","Moderate",2.84,63.7,7.84,2.5,70,69.4,2,"No",0
"Master","Medium","Yes","Noisy",4.24,88.6,7.41,0,88.9,67.3,1,"No",0
"High School","Low","No","Noisy",2.79,83.5,7.47,2.8,82.2,83.4,1,"Yes",0
"Bachelor","Medium","Yes","Quiet",2.06,89.4,8.64,1.9,68.9,76.7,3,"No",0
"Bachelor","Low","Yes","Moderate",3.1,82.5,6.1,2.9,62.8,73.5,1,"No",0
"Master","High","Yes","Moderate",3.55,92.8,5.75,0.9,86.2,68.9,2,"No",0
"Master","Low","Yes","Quiet",1.15,87.4,7.31,0,74.7,50.4,2,"No",0
"High School","Medium","Yes","Moderate",0.5,91.4,6.5,2.5,66.5,57.4,1,"Yes",0
"Bachelor","Medium","Yes","Moderate",2.1,100,5.96,2.4,92.4,54,2,"No",0
"High School","High","Yes","Moderate",0.5,98.9,5.98,1.9,76.2,67,1,"No",0
"Bachelor","High","Yes","Moderate",3.67,93.1,7.68,1.3,76.3,61.5,1,"Yes",0
"PhD","Low","Yes","Moderate",2.69,71.3,6.97,3.8,76.9,59.6,3,"No",0
"Master","Low","Yes","Moderate",2.74,80.5,7.77,0.6,97.1,57.9,2,"No",0
"High School","Medium","Yes","Moderate",4.22,89.2,4,3.5,82.5,80.3,3,"No",0
"Bachelor","Low","Yes","Quiet",2.47,84,6.11,6.4,81.1,68.9,5,"Yes",0
"High School","High","Yes","Quiet",0.5,96.5,5.66,1.6,58.1,67.5,3,"Yes",0
"High School","Medium","Yes","Moderate",2,80.3,7.13,1.6,75.6,74.9,2,"No",0
"High School","Low","No","Moderate",3.04,81.2,8.66,4.7,85.7,59.8,2,"No",0
"Bachelor","Low","Yes","Moderate",4.56,83.5,7.54,1.9,98.1,81.9,2,"No",0
"High School","Medium","Yes","Moderate",2.26,69.5,6.29,3.9,89.1,54.1,3,"Yes",0
"Bachelor","Low","Yes","Noisy",0.5,59.8,7.82,3.2,97.1,74.1,2,"No",0
"High School","High","No","Moderate",1.28,89,6.17,2.1,69.7,59.9,0,"No",0
"High School","Medium","No","Quiet",1.26,71.3,8.59,3.3,87.1,97.6,2,"No",0
"High School","High","Yes","Noisy",1.45,89.3,8.25,1.9,100,85.1,3,"No",0
"High School","Low","Yes","Moderate",1.73,82,7.19,4.2,81.7,55.5,5,"No",0
"High School","Low","Yes","Noisy",3.39,100,7.74,1.8,41.8,100,1,"No",0
"Master","Medium","Yes","Quiet",4.58,71.4,7.48,2.4,67,55.4,3,"Yes",0
"High School","High","Yes","Moderate",4.24,89.1,7.17,3.9,100,71.3,1,"No",0
"High School","Medium","Yes","Quiet",1.14,78.2,7.11,4.1,83.4,43.2,3,"No",0
"Master","Low","Yes","Moderate",0.5,72.2,8.14,2.1,59,71.1,4,"Yes",0
"Bachelor","Medium","Yes","Moderate",1.58,91,6.25,5.4,79.9,63.3,4,"Yes",0
"Master","Medium","Yes","Quiet",3.69,78.2,4.87,4.2,94.4,73.4,2,"No",0
"High School","High","Yes","Noisy",2.32,98.4,6.49,1.9,80.1,77.4,3,"No",0
